ST_CASE,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10
10450,0,0,0,0,0,0,0,0,0,0
10451,0,0,0,0,0,0,26,0,0,0
10452,22,18,16,0,10,0,9,21,0,15
10453,0,20,0,0,0,0,16,0,0,24
10454,25,25,25,25,25,25,25,25,25,25
10455,8,6,0,15,20,0,18,9,0,0
10456,0,0,0,0,0,0,0,3,0,0
10457,32,32,32,32,32,32,32,32,32,32
10458,0,0,0,0,0,0,0,0,0,0
10459,0,0,0,0,0,0,0,0,0,0
10460,7,7,7,7,7,7,7,7,7,7
10461,19,19,19,19,19,19,19,19,19,19
10462,0,0,0,0,0,0,0,0,0,0
10463,13,13,13,13,13,13,13,13,13,13
10464,0,0,0,0,0,0,0,0,0,0
10465,0,0,0,0,0,0,0,0,0,0
10466,21,11,11,30,11,0,19,3,20,0
10467,0,0,0,0,0,0,0,0,0,0
10468,0,7,13,0,0,11,0,2,0,0
10469,25,25,25,25,25,25,25,25,25,25
10470,0,0,0,0,0,0,0,0,0,0
10471,14,0,17,15,21,0,0,0,18,0
10472,0,0,0,0,0,0,0,0,0,0
10473,0,0,0,0,0,0,0,0,0,0
10474,0,0,0,2,0,0,0,0,0,0
10475,0,0,0,0,0,0,0,0,0,0
10476,0,0,0,0,0,0,0,0,0,0
10477,22,30,22,22,22,22,22,22,22,22
10478,5,5,5,5,5,5,5,5,5,5
10479,0,0,0,0,0,0,0,0,0,0
10480,0,0,0,0,0,0,0,0,0,0
10481,14,0,0,0,0,0,0,0,0,0
10482,0,0,0,0,0,14,0,0,0,0
10483,9,26,0,0,0,0,0,0,0,0
10484,0,0,0,0,0,0,0,0,0,0
10485,0,0,0,0,0,0,0,0,0,0
10486,0,0,0,0,0,0,0,0,0,0
10487,30,30,30,30,30,30,30,30,30,30
10488,17,17,17,17,17,17,17,17,17,17
10489,13,9,0,14,0,13,0,9,0,0
10490,0,0,16,0,0,0,0,0,0,9
10491,0,0,0,0,0,0,0,0,0,0
10492,0,0,0,0,0,0,0,0,0,0
10493,11,12,10,0,6,24,23,29,15,17
10494,22,22,22,22,22,22,22,22,22,22
10495,0,0,0,0,0,0,0,0,0,0
10496,7,7,7,7,7,7,7,7,7,7
10497,0,0,0,0,0,0,0,0,0,0
10498,0,0,0,0,0,0,0,0,0,0
10499,28,0,30,0,0,29,0,0,0,0
10500,0,0,0,0,0,0,10,0,0,0
10501,17,17,17,17,17,17,17,17,17,17
10502,14,0,0,0,0,0,0,0,24,0
10503,31,31,31,31,31,31,31,31,31,31
10504,3,3,3,3,3,3,3,3,3,3
10505,36,36,36,36,36,36,36,36,36,36
10506,0,0,0,0,0,0,12,0,0,0
10507,0,0,14,0,0,9,6,0,0,9
10508,0,23,0,0,0,0,13,0,0,0
10509,17,17,17,17,17,17,17,17,17,17
10510,28,9,14,34,11,50,59,11,20,38
10511,0,0,0,0,0,0,0,0,16,0
10512,0,0,0,0,0,25,0,0,0,0
10513,0,0,0,0,0,0,0,0,0,0
10514,16,0,0,0,0,0,11,0,0,0
10515,16,14,15,21,0,21,0,0,5,16
10516,19,0,0,0,0,0,0,0,0,0
10517,0,0,0,0,0,0,0,0,0,0
10518,39,22,13,19,26,17,20,0,16,29
10519,0,0,0,0,0,0,0,0,0,0
10521,0,0,0,0,0,0,0,0,0,0
10522,0,0,0,0,0,7,0,0,0,0
10523,0,0,0,0,0,0,0,0,0,0
10524,5,5,5,5,5,5,5,5,5,5
10525,0,0,0,0,0,0,0,0,0,0
10526,0,0,0,0,0,0,0,0,0,0
10527,0,0,0,0,0,0,0,0,0,0
10528,0,0,0,0,0,0,0,0,0,0
10529,33,33,33,33,33,33,33,33,33,33
10530,0,0,0,0,0,0,0,0,0,0
10531,0,0,0,0,0,0,0,0,0,0
10532,0,0,0,0,0,0,0,0,0,0
10533,0,0,0,0,0,0,0,0,0,0
10534,0,0,0,0,0,0,0,0,0,0
10535,30,30,30,30,30,30,30,30,30,30
10536,10,10,10,10,10,13,10,36,10,10
10537,0,0,0,0,0,0,0,0,0,0
10538,0,0,0,0,0,0,0,0,0,0
10539,0,0,0,12,0,0,0,0,0,0
10540,24,24,24,24,24,24,24,24,24,24
10541,0,0,0,0,0,0,0,0,0,0
10542,18,0,19,9,11,11,21,0,10,0
10543,8,8,8,8,8,8,8,8,8,8
10544,0,0,0,0,0,0,0,0,0,0
10545,0,0,0,0,0,0,0,0,0,0
10546,0,0,0,0,0,0,0,0,0,0
10547,20,0,0,0,0,0,0,0,0,0
10548,0,28,0,0,16,0,0,0,0,12
10549,0,0,0,0,0,0,0,0,0,0
10550,0,0,0,0,0,0,0,21,11,0
10551,0,0,0,0,0,0,0,0,0,0
10552,16,20,18,24,8,12,22,10,22,24
10553,0,0,0,0,0,0,0,0,0,0
10554,0,41,25,0,0,0,0,17,18,0
10555,10,10,10,10,10,10,10,10,10,10
10556,11,18,9,24,29,13,13,27,21,22
10557,35,0,0,0,3,0,23,23,0,27
10558,21,29,9,0,21,19,20,14,11,38
10559,2,13,13,0,28,13,0,11,0,24
10560,0,0,0,0,0,0,0,0,0,12
10561,0,0,0,0,0,0,0,0,0,0
10562,33,33,33,33,33,33,33,33,33,33
10563,0,0,0,0,0,0,0,0,0,0
10564,30,30,30,30,30,30,30,30,30,30
10565,15,0,11,0,0,41,26,0,4,0
10566,0,0,0,0,0,10,0,0,0,0
10567,0,0,17,0,0,0,0,0,0,0
10568,0,0,0,0,0,0,0,0,0,0
10569,17,17,17,17,17,17,17,17,17,17
10570,22,22,22,22,22,22,22,22,22,23
10571,0,0,18,7,12,12,16,5,22,11
10572,16,0,0,15,11,21,20,26,18,17
10573,0,0,0,0,0,0,0,0,0,0
10574,0,0,0,0,0,0,0,0,0,0
10575,0,0,0,0,0,0,0,0,0,0
10576,0,0,0,15,18,0,0,26,0,0
10577,24,24,24,24,24,24,24,24,24,24
10578,0,0,0,0,0,0,0,0,0,0
10579,0,0,0,0,0,0,0,0,0,0
10580,21,21,21,21,21,21,21,21,21,21
10581,0,0,0,0,0,0,0,0,0,0
10582,25,0,10,0,8,14,6,0,16,0
10583,9,24,0,0,0,0,0,0,0,0
10584,5,0,0,0,16,0,0,0,0,0
10585,0,0,0,0,0,27,0,0,0,0
10586,17,17,17,17,17,17,17,17,17,17
10587,0,0,0,0,0,0,0,0,0,0
10588,0,0,0,0,0,0,0,0,0,0
10589,0,0,0,0,0,0,0,0,0,0
10590,0,0,0,0,0,0,0,0,0,0
10591,0,17,0,0,0,0,0,23,0,0
10592,0,0,0,0,0,0,0,0,0,0
10593,10,10,10,10,10,10,10,10,10,10
10594,0,0,0,0,0,0,0,0,0,0
10595,0,0,0,0,0,0,0,0,0,0
10596,0,0,0,0,0,16,0,15,0,0
10597,26,26,26,26,26,26,26,26,26,26
10598,40,0,0,21,0,21,0,15,20,22
10599,0,0,0,0,0,0,0,0,0,0
10600,25,25,25,25,25,25,25,25,25,25
10601,0,0,0,0,0,0,0,0,0,0
10602,0,0,0,0,0,0,0,0,0,0
10603,0,0,0,0,0,0,0,0,0,3
10604,0,0,0,0,0,0,0,0,0,0
10605,22,22,22,22,22,22,22,22,22,22
10606,0,0,0,0,0,0,0,0,0,0
10607,0,0,0,0,0,0,0,0,0,0
