STATE,STATENAME,ST_CASE,VEH_NO,PVEHICLESF,PVEHICLESFNAME
12,Florida,123014,2,0,None Noted
12,Florida,123024,2,0,None Noted
12,Florida,123024,3,0,None Noted
12,Florida,123039,2,0,None Noted
12,Florida,123046,2,0,None Noted
12,Florida,123145,2,0,None Noted
12,Florida,123191,2,0,None Noted
12,Florida,123277,2,0,None Noted
12,Florida,123331,3,0,None Noted
12,Florida,123370,2,0,None Noted
12,Florida,123411,2,0,None Noted
12,Florida,123486,2,0,None Noted
12,Florida,123490,3,0,None Noted
12,Florida,123490,4,0,None Noted
12,Florida,123516,2,0,None Noted
13,Georgia,130002,2,0,None Noted
13,Georgia,130116,2,0,None Noted
13,Georgia,130193,2,0,None Noted
13,Georgia,130311,2,0,None Noted
13,Georgia,130385,2,0,None Noted
13,Georgia,130424,3,0,None Noted
13,Georgia,130437,3,0,None Noted
13,Georgia,130446,2,0,None Noted
13,Georgia,130596,2,0,None Noted
13,Georgia,130737,2,0,None Noted
13,Georgia,130825,2,0,None Noted
13,Georgia,130829,2,0,None Noted
13,Georgia,130927,2,0,None Noted
13,Georgia,130927,3,0,None Noted
13,Georgia,130929,2,0,None Noted
13,Georgia,130929,3,0,None Noted
13,Georgia,131044,2,0,None Noted
13,Georgia,131055,2,0,None Noted
13,Georgia,131119,2,0,None Noted
13,Georgia,131147,2,0,None Noted
13,Georgia,131173,3,0,None Noted
13,Georgia,131192,2,0,None Noted
13,Georgia,131192,3,0,None Noted
13,Georgia,131192,4,0,None Noted
13,Georgia,131350,2,0,None Noted
13,Georgia,131356,2,0,None Noted
13,Georgia,131458,2,0,None Noted
13,Georgia,131634,2,0,None Noted
13,Georgia,131669,2,0,None Noted
13,Georgia,131692,2,0,None Noted
15,Hawaii,150021,2,0,None Noted
15,Hawaii,150021,3,0,None Noted
15,Hawaii,150021,4,0,None Noted
15,Hawaii,150021,5,0,None Noted
15,Hawaii,150021,6,0,None Noted
15,Hawaii,150030,2,0,None Noted
15,Hawaii,150044,2,0,None Noted
15,Hawaii,150046,2,0,None Noted
15,Hawaii,150056,4,0,None Noted
15,Hawaii,150114,2,0,None Noted
16,Idaho,160046,2,0,None Noted
16,Idaho,160178,2,0,None Noted
17,Illinois,170002,2,42,"Other Working Vehicle (Not Construction, Maintenance, Utility, Police, Fire, or EMS Vehicle)"
17,Illinois,170067,2,0,None Noted
17,Illinois,170067,3,0,None Noted
17,Illinois,170072,2,0,None Noted
17,Illinois,170077,2,0,None Noted
17,Illinois,170145,2,0,None Noted
17,Illinois,170145,3,0,None Noted
17,Illinois,170298,2,0,None Noted
17,Illinois,170332,2,0,None Noted
17,Illinois,170334,2,0,None Noted
17,Illinois,170357,2,0,None Noted
17,Illinois,170382,2,0,None Noted
17,Illinois,170383,2,0,None Noted
17,Illinois,170414,2,0,None Noted
17,Illinois,170439,2,42,"Other Working Vehicle (Not Construction, Maintenance, Utility, Police, Fire, or EMS Vehicle)"
17,Illinois,170439,4,42,"Other Working Vehicle (Not Construction, Maintenance, Utility, Police, Fire, or EMS Vehicle)"
17,Illinois,170481,2,0,None Noted
17,Illinois,170500,2,0,None Noted
17,Illinois,170523,2,0,None Noted
17,Illinois,170539,2,0,None Noted
17,Illinois,170550,2,0,None Noted
17,Illinois,170580,3,0,None Noted
17,Illinois,170580,4,0,None Noted
17,Illinois,170598,3,0,None Noted
17,Illinois,170598,4,0,None Noted
17,Illinois,170598,5,0,None Noted
17,Illinois,170634,2,0,None Noted
17,Illinois,170766,2,0,None Noted
17,Illinois,170778,2,0,None Noted
17,Illinois,170865,3,0,None Noted
17,Illinois,170865,4,0,None Noted
17,Illinois,170865,5,0,None Noted
17,Illinois,170865,6,0,None Noted
17,Illinois,170880,2,0,None Noted
17,Illinois,170890,4,0,None Noted
17,Illinois,170898,2,0,None Noted
17,Illinois,170921,2,0,None Noted
17,Illinois,170921,3,0,None Noted
17,Illinois,170923,2,0,None Noted
17,Illinois,170923,3,0,None Noted
17,Illinois,170923,4,0,None Noted
17,Illinois,170926,2,0,None Noted
17,Illinois,170926,3,0,None Noted
17,Illinois,170940,2,0,None Noted
17,Illinois,170954,2,0,None Noted
17,Illinois,170955,2,0,None Noted
17,Illinois,170957,2,0,None Noted
17,Illinois,170957,3,0,None Noted
17,Illinois,171026,4,0,None Noted
17,Illinois,171026,5,0,None Noted
17,Illinois,171039,2,0,None Noted
17,Illinois,171039,3,0,None Noted
17,Illinois,171050,2,0,None Noted
17,Illinois,171089,2,0,None Noted
17,Illinois,171097,2,0,None Noted
17,Illinois,171097,3,0,None Noted
17,Illinois,171110,4,0,None Noted
