ST_CASE,VEH_NO,PER_NO,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10
10104,1,1,28,28,28,28,28,28,28,28,28,28
10104,2,1,1,1,1,1,1,1,1,1,1,1
10105,1,1,0,0,0,0,0,0,0,0,0,0
10105,2,1,0,0,0,0,0,0,0,0,0,0
10106,1,1,0,0,0,0,0,0,0,7,0,0
10106,2,1,0,0,0,0,0,0,0,0,0,0
10107,1,1,0,0,0,0,0,0,0,0,0,0
10107,2,1,0,7,0,0,0,3,0,0,0,0
10108,1,1,0,0,25,0,0,11,0,0,0,0
10109,1,1,22,22,22,22,22,22,22,22,22,22
10110,0,1,44,11,27,27,23,27,19,14,22,16
10110,1,1,0,0,0,0,20,0,0,0,0,0
10111,1,1,0,0,0,0,0,0,0,0,0,0
10111,2,1,0,0,0,0,0,0,0,0,0,0
10112,1,1,24,24,24,24,24,24,24,24,24,24
10113,1,1,6,6,6,6,6,6,6,6,6,6
10113,2,1,0,0,9,0,0,0,0,23,0,0
10114,1,1,0,0,0,0,0,0,0,0,0,0
10114,2,1,0,0,0,0,0,0,0,0,0,0
10115,1,1,32,0,0,15,0,0,0,0,0,31
10116,1,1,0,0,0,2,0,0,0,0,0,0
10117,1,1,18,18,18,18,18,18,18,18,18,18
10118,1,1,0,0,0,0,0,0,0,0,0,0
10119,1,1,0,0,0,0,0,0,0,0,0,0
10120,1,1,0,0,0,17,0,0,0,0,0,0
10121,1,1,19,4,21,22,8,23,19,11,17,27
10122,0,1,0,0,0,0,0,0,0,0,0,0
10122,1,1,0,8,0,14,0,20,0,11,0,0
10123,0,1,0,0,0,0,0,0,11,22,0,34
10123,0,2,0,0,0,0,0,0,0,0,0,8
10123,1,1,0,0,0,0,0,0,0,0,0,0
10124,1,1,4,4,4,4,4,4,4,4,4,4
10125,1,1,0,0,0,0,0,0,0,0,0,0
10126,1,1,2,2,2,2,2,2,2,2,2,2
10127,1,1,0,0,0,0,0,0,0,0,0,0
10128,1,1,23,23,23,23,23,23,23,23,23,23
10128,2,1,0,0,0,0,0,0,0,0,0,0
10129,1,1,0,0,0,0,0,0,0,0,0,22
10130,1,1,0,0,0,0,0,0,11,0,0,0
10130,2,1,0,0,0,0,0,0,0,0,0,15
10130,3,1,0,0,0,27,0,0,0,0,0,0
10131,1,1,0,0,0,0,0,0,0,0,0,0
10131,2,1,0,0,0,0,0,0,0,0,0,0
10132,1,1,0,0,0,0,0,0,0,0,0,0
10132,2,1,0,0,0,0,0,0,0,0,0,0
10133,1,1,15,15,15,15,15,15,15,15,15,15
10133,2,1,0,0,0,0,0,0,0,0,0,0
10134,1,1,0,0,0,0,0,0,0,0,0,0
10134,2,1,0,0,0,0,0,0,0,0,0,0
10135,1,1,0,0,0,0,0,0,0,0,0,0
10135,2,1,0,0,0,0,0,0,0,0,0,0
10136,0,1,21,21,21,21,21,21,21,21,21,21
10136,1,1,0,0,0,0,0,0,0,0,0,0
10137,1,1,24,24,24,24,24,24,24,24,24,24
